time,signal,control
6814.928512,0.019730196,0.025269804
6814.978528,0.019800784,0.025355294
6815.028512,0.01982902,0.025316863
6815.078528,0.020014118,0.025272941
6815.128512,0.019868235,0.025522353
6815.178528,0.01999451,0.025414902
6815.228512,0.020069804,0.025454902
6815.278528,0.020058824,0.025481569
6815.328512,0.01998902,0.025480784
6815.378528,0.019996863,0.025613333
6815.428512,0.020017255,0.025520784
6815.478528,0.019927059,0.025641569
6815.528512,0.020010196,0.025483922
6815.578528,0.020007843,0.025526275
6815.628512,0.020010196,0.025504314
6815.678528,0.020053333,0.025501961
6815.728512,0.020168627,0.025397647
6815.778528,0.020097255,0.025506667
6815.828512,0.02011451,0.025503529
6815.878528,0.020047059,0.025451765
6815.928512,0.020046275,0.025534118
6815.978528,0.02003451,0.025331765
6816.028512,0.019876863,0.025374902
6816.078528,0.01985098,0.025372549
6816.128512,0.019891765,0.02508549
6816.178528,0.02006902,0.025273725
6816.228512,0.020155294,0.025219608
6816.278528,0.019962353,0.02534902
6816.328512,0.020141961,0.025247059
6816.378528,0.020106667,0.025239216
6816.428512,0.02017098,0.025305882
6816.478528,0.02026902,0.025238431
6816.528512,0.02022902,0.025533333
6816.578528,0.020332549,0.025441569
6816.628512,0.020290196,0.02564549
6816.678528,0.020436863,0.02549098
6816.728512,0.020376471,0.02548549
6816.778528,0.020407843,0.025610196
6816.828512,0.020522353,0.025483137
6816.878528,0.020392941,0.025659608
6816.928512,0.020398431,0.025599216
6816.978528,0.020186667,0.025505098
6817.028512,0.020096471,0.025350588
6817.078528,0.020088627,0.025119216
6817.128512,0.020014902,0.025293333
6817.178528,0.020161569,0.025054118
6817.228512,0.019963922,0.025166275
6817.278528,0.02005098,0.025266667
6817.328512,0.020120784,0.025351373
6817.378528,0.020043922,0.025487843
6817.428512,0.020011765,0.025403137
6817.478528,0.019963137,0.025472941
6817.528512,0.019774118,0.02548
6817.578528,0.01975451,0.025337255
6817.628512,0.019660392,0.025094118
6817.678528,0.019558431,0.025247843
6817.728512,0.019363922,0.024897255
6817.778528,0.019094118,0.024607843
6817.828512,0.018836078,0.024174118
6817.878528,0.018904314,0.023788235
6817.928512,0.018723922,0.023614902
6817.978528,0.018778039,0.023491765
6818.02848,0.018773333,0.023378039
6818.078496,0.018808627,0.02334902
6818.12848,0.018745882,0.023473725
6818.178496,0.018921569,0.023338039
6818.22848,0.018574902,0.023410196
6818.278496,0.018638431,0.023499608
6818.32848,0.018934118,0.023139608
6818.378496,0.018942745,0.023413333
6818.42848,0.018988235,0.02372
6818.478496,0.019047843,0.023818039
6818.52848,0.019035294,0.024042353
6818.578496,0.01924,0.024081569
6818.62848,0.019536471,0.024167843
6818.678496,0.019527843,0.024675294
6818.72848,0.019539608,0.024904314
6818.778496,0.01968549,0.02489098
6818.82848,0.019763137,0.024964706
6818.878496,0.01976,0.025241569
6818.92848,0.019750588,0.025182745
6818.978496,0.019939608,0.024993725
6819.02848,0.019788235,0.025430588
6819.078496,0.019801569,0.025398431
6819.12848,0.019741961,0.025207059
6819.178496,0.019667451,0.025272941
6819.22848,0.019808627,0.025244706
6819.278496,0.019692549,0.025167059
6819.32848,0.019770196,0.025211765
6819.378496,0.019779608,0.025163922
6819.42848,0.019551373,0.025252549
6819.478496,0.019741961,0.025029804
6819.52848,0.019667451,0.024983529
6819.578496,0.019589804,0.025152157
6819.62848,0.019736471,0.024873725
6819.678496,0.019801569,0.024841569
6819.72848,0.019877647,0.025077647
6819.778496,0.019974902,0.02494902
6819.82848,0.019969412,0.024887843
6819.878496,0.019978824,0.024903529
6819.92848,0.019829804,0.02507451
6819.978496,0.019827451,0.024878431
6820.02848,0.019731765,0.024901961
6820.078496,0.019698824,0.024906667
6820.12848,0.019632157,0.024841569
6820.178496,0.019355294,0.024926275
6820.22848,0.019574118,0.024700392
6820.278496,0.019562353,0.024781176
6820.32848,0.019424314,0.024829804
6820.378496,0.019598431,0.024687059
6820.42848,0.019572549,0.024746667
6820.478496,0.019658824,0.02488549
6820.52848,0.019631373,0.02484
6820.578496,0.019528627,0.024853333
6820.62848,0.019451765,0.024801569
6820.678496,0.019289412,0.024651765
6820.72848,0.019116863,0.024486275
6820.778496,0.019159216,0.024237647
6820.82848,0.018993725,0.024105098
6820.878496,0.018593725,0.02407451
6820.92848,0.018167843,0.023738039
6820.978496,0.018127059,0.02297098
6821.02848,0.017820392,0.02256
6821.078496,0.017803137,0.022374118
6821.12848,0.018090196,0.022058824
6821.178496,0.01846902,0.022373333
6821.22848,0.018820392,0.02299451
6821.278496,0.019141961,0.023425882
6821.32848,0.019217255,0.024119216
6821.378496,0.019329412,0.024343529
6821.42848,0.019134902,0.024672941
6821.478496,0.019089412,0.024531765
6821.52848,0.01932,0.024357647
6821.578496,0.019416471,0.024505098
6821.62848,0.019493333,0.024740392
6821.678496,0.019477647,0.02484
6821.72848,0.019608627,0.024980392
6821.778496,0.019696471,0.024941961
6821.82848,0.019751373,0.025247843
6821.878496,0.01989098,0.025188235
6821.92848,0.019928627,0.025272157
6821.978496,0.01997098,0.025345882
6822.02848,0.019952157,0.025326275
6822.078496,0.020076863,0.025483137
6822.12848,0.020082353,0.025371765
6822.178496,0.019895686,0.025556078
6822.22848,0.019958431,0.025473725
6822.278496,0.019895686,0.025196863
6822.32848,0.019814118,0.025402353
6822.378496,0.019920784,0.025232157
6822.42848,0.019781176,0.025396078
6822.478496,0.019933333,0.025345882
6822.52848,0.019926275,0.025258039
6822.578496,0.019996078,0.025454902
6822.62848,0.02010902,0.025346667
6822.678496,0.019956078,0.025538824
6822.72848,0.020124706,0.025435294
6822.778496,0.020158431,0.025402353
6822.82848,0.020172549,0.0254
6822.878496,0.020143529,0.025349804
6822.92848,0.020087843,0.025342745
6822.978496,0.02002902,0.025199216
6823.02848,0.019939608,0.025177255
6823.078496,0.019865098,0.025177255
6823.12848,0.019946667,0.025177255
6823.178496,0.019901176,0.025255686
6823.22848,0.019814118,0.025344314
6823.278496,0.019897255,0.025257255
6823.32848,0.019628235,0.025350588
6823.378496,0.019849412,0.025073725
6823.42848,0.019702745,0.025139608
6823.478496,0.01967451,0.025140392
6823.52848,0.019777255,0.024988235
6823.578496,0.019745098,0.025119216
6823.62848,0.019848627,0.025084706
6823.678496,0.019949804,0.025104314
6823.72848,0.020021176,0.025120784
6823.778496,0.019832157,0.025200784
6823.82848,0.019870588,0.025219608
6823.878496,0.019727059,0.025124706
6823.92848,0.019761569,0.025076863
6823.978496,0.019763922,0.024989804
